id,timestamp,objects Detected,latency,fps
1d7d4605-6770-461b-9a6b-296df654c5ac,2021-05-28T04:22:13.475Z,6,260,19
c66fc57e-b4b1-45f7-9b87-b885333057b4,2021-05-28T04:22:13.475Z,10,255,24
649bc766-eb63-4017-ab9f-6a8d9a36f91d,2021-05-28T04:22:13.475Z,5,274,20
9464e9cf-b61a-42f9-bb9b-f8dbe96dd873,2021-05-28T04:22:13.475Z,8,274,20
af9ea691-5d9f-4b4c-8e10-2406bd195a45,2021-05-28T04:22:13.475Z,5,266,17
23b801cf-aa9b-4c33-a3aa-4d74f30ace6b,2021-05-28T04:22:13.475Z,7,257,22
d091e326-6bc1-460d-b038-f434eb95269f,2021-05-28T04:22:13.475Z,1,272,16
ebd87bb8-d9a4-4574-b2f6-a56a4d155cb7,2021-05-28T04:22:13.475Z,3,259,24
27a9699a-cd22-4ad4-837e-318411bba3d7,2021-05-28T04:22:13.475Z,4,264,23
2768373f-6372-46e7-b318-31e1c4aefb6f,2021-05-28T04:22:13.475Z,5,262,19
33a21125-ea7c-4e72-ae39-48d9ddf9ff82,2021-05-28T04:22:13.475Z,5,267,22
d0ccffcc-9ab9-42c1-8fa8-4ad5b7f9dc0e,2021-05-28T04:22:13.475Z,2,272,24
da141bee-4996-411a-933d-1a7a15b1f90e,2021-05-28T04:22:13.475Z,9,266,23
2bb4b54d-9870-468a-9ec5-adacfc374ec4,2021-05-28T04:22:13.475Z,3,264,16
c4cb0c5d-ce12-4166-b346-655b4e220c0b,2021-05-28T04:22:13.475Z,6,259,21
f3cb1b59-9c4b-4bff-88c9-acb1f71d69a1,2021-05-28T04:22:13.475Z,6,256,19
f77e6220-1dde-4be3-8773-1952a559d0c4,2021-05-28T04:22:13.475Z,9,269,18
bcfab789-ad24-4de0-bf6e-c6622abd3534,2021-05-28T04:22:13.475Z,8,275,21
18517787-5831-4766-acb6-dc53cf5705c0,2021-05-28T04:22:13.475Z,2,262,16
ec85f4f8-b229-430b-9535-ce71a355f6f4,2021-05-28T04:22:13.475Z,2,265,18
830c0ee0-87fb-4fc5-9312-6ec9f33471f4,2021-05-28T04:22:13.475Z,5,255,24
34acf99e-ee4c-4c34-83e6-609083309213,2021-05-28T04:22:13.475Z,4,269,18
5ee4d489-35a9-42a6-aef5-45d9a16d5419,2021-05-28T04:22:13.475Z,3,275,20
0550600f-8a4f-4674-88cd-9ecb5a87c7f9,2021-05-28T04:22:13.475Z,10,273,19
c6479c8d-76fd-4cef-8503-94745e2988e0,2021-05-28T04:22:13.475Z,2,268,19
9b9c019b-243a-44b0-ab43-d198e3393ebb,2021-05-28T04:22:13.475Z,7,273,19
c76f7281-6fe0-4c68-98f2-73d813f46b0e,2021-05-28T04:22:13.475Z,10,270,17
003c9abc-1a2f-4ebd-a3cb-d603eda77ee7,2021-05-28T04:22:13.475Z,2,269,23
c5db025c-6644-4d32-9526-0ee849a73651,2021-05-28T04:22:13.475Z,8,262,21
17561274-861b-4870-a011-9653cb9bbfca,2021-05-28T04:22:13.476Z,4,259,20
9785c93d-8380-464a-b37d-08b482bfcd45,2021-05-28T04:22:13.476Z,2,262,23
e54042fb-ddef-4682-a9f5-4aa90668bf85,2021-05-28T04:22:13.476Z,4,259,18
ab1ca4a9-3a73-475e-8823-e01e061f6469,2021-05-28T04:22:13.476Z,7,257,20
3c776dc7-c274-4be7-b92f-3bf006f2fadb,2021-05-28T04:22:13.476Z,4,270,20
fc341e9c-79b1-409f-a5e4-5bdf946b2632,2021-05-28T04:22:13.476Z,1,272,21
f2f33fa8-694b-42c1-83f4-c8b1a3e8e9ec,2021-05-28T04:22:13.476Z,2,272,20
5017f017-9745-453f-bf65-b88b64e92dc6,2021-05-28T04:22:13.476Z,4,260,22
d62ab3ff-b012-484f-b20d-8ed7d7791d98,2021-05-28T04:22:13.476Z,6,270,18
3086c1b3-e451-49c9-b49e-90f5b6a36ed5,2021-05-28T04:22:13.476Z,6,272,19
67c76c4c-38ae-49a5-8200-2bd3a4641700,2021-05-28T04:22:13.476Z,8,266,21
7bb4b557-ccd3-4b6d-8e76-149bff813859,2021-05-28T04:22:13.476Z,2,273,22
c12a9267-cd99-47da-b057-df1bc8737af1,2021-05-28T04:22:13.476Z,2,267,20
0a1bc67c-c47a-49d5-92ec-e5747494eb4f,2021-05-28T04:22:13.476Z,6,255,23
821b56ee-f8bb-43c4-8be4-e9e498c1ffc8,2021-05-28T04:22:13.476Z,2,262,20
a625cad8-d0ae-4ded-a5f8-5d0031c40890,2021-05-28T04:22:13.476Z,10,268,24
a6ac4e28-27d3-40b5-86cd-d627db0edec7,2021-05-28T04:22:13.476Z,1,264,21
034caefb-ad19-4a1b-93b8-b5c42dc3924f,2021-05-28T04:22:13.476Z,5,271,23
ad726902-fcd9-4c9a-aa6f-f58e99074475,2021-05-28T04:22:13.476Z,3,265,18
462b8dad-225c-4832-a3a5-c2c11e878e45,2021-05-28T04:22:13.476Z,1,259,17
46a07f01-0379-460e-b2df-fa4fac04f694,2021-05-28T04:22:13.476Z,2,263,22
